Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$75K - $142K (Glassdoor est.),"Overview:
Data Scientist
Responsibilities:
Job Description

Analyze and interpret data to provide insights into public diplomacy audiences around the world
Contribute to the development of data pipelines, data storage architectures, web-based user interfaces, and data visualizations to support Public Diplomacy efforts
Analyze global datasets for cross-platform reporting; provide insights into Public Diplomacy operations
Qualifications:",4.7,Delaware Nation Industries,"Washington, DC",-1,201 to 500 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1
Senior Data Scientist - Telematics,$92K - $165K (Glassdoor est.),"Ready to make an impact? If so, read on!
GEICO's telematics team uses predictive analytics and machine learning methods to create innovative products and customer interactions using sensor data capturing customer driving behavior. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data cleaning, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will research, develop, and deploy telematics-based solutions to improve pricing, drive customer segmentation, and streamline claim resolution in order to create a competitive advantage for GEICO. You'll synthesize large sensor-based datasets and solve complex problems using advanced machine learning and statistical modeling. You'll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.",3.4,GEICO,"Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist,$80K - $145K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.",3.4,GEICO,"Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist IV,$104K - $193K (Glassdoor est.),"What We're Looking For:
The Data Scientist IV will lead advanced analytical research, development, and implementation. This is a highly quantitative role that requires elite analytical aptitude, strong programming skills, and intellectual curiosity. We are looking for someone who has a history of using data science to solve business problems, has extensive experience running experiments at scale in enterprise settings, is comfortable training and evaluating machine learning models in production, and has a proven ability to be a technical leader.
Responsibilities Include, But Are Not Limited To:
Design and execute business and technical processes needed for experimentation to support an array of business problems from marketing to survey analytics, including experiment ideation, experimental design, monitoring, data analysis, code review, and communication of results",3.9,2U,"Brooklyn, NY",-1,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
Data Analyst,$37K - $81K (Glassdoor est.),"***We do not offer visa sponsorship for this role***
Join a quality focused, team oriented, growing organization. Set in beautiful Anchorage, Alaska this is an in-office job working with a dynamic team in a environment that ensures the highest safety measure.
A robust benefit plan includes competitive pay, relocation/sign-on bonus, excellent benefits package including medical, dental, flexible spending accounts, life insurance, voluntary insurance and vision coverage. PTO in addition to 8 paid holidays per year. And many other perks as part of an employee and patient satisfaction centered environment.
JOB TITLE: Data Analyst
DEPARTMENT: Finance Department, Decision Support Services Section
GENERAL SUMMARY OF DUTIES: Responsible for collection of qualitative data from all available system in order to improve operational efficiencies. Maintenance and update of systems, creation of reporting platforms with the goal of improved organizational efficiency.
SUPERVISION RECEIVED: Reports to Director of Finance",3.4,Alaska Heart and Vascular Institute,"Anchorage, AK",-1,51 to 200 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD),-1
Data Scientist,$79K - $134K (Glassdoor est.),"The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans.
What you'll do:
Research and develop statistical learning models for data analysis
Develop insights and deliver recommendations based on data analyses
Work with business leaders to articulate business requirements for data analyses
Implement new statistical or other mathematical methodologies for specific models or analyses",3.2,HPOne,"Trumbull, CT",-1,501 to 1000 Employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),-1
Data Scientist 1,$67K - $136K (Glassdoor est.),"Data Scientist 1, Television Data Products
Location: Dulles, VA
FourthWall Media, Inc. is looking for a data scientist with a strong background in data analytics to join its Data Science team. FourthWall Media is creating a whole new way of thinking about media analytics. From audiences to attribution, our deep data experience coupled with our Reveal™ platform will open the door for evolution, invention, and growth across the media ecosystem. We are seeking new team members who will support our growth and help shape the next generation of media analytics.
Job Description
This individual would be involved in all phases and levels of data handling in its advertising analytics products such as monitoring and ensuring the integrity of underlying datasets, testing for data validity, validating analytic outputs, interfacing with and providing support to product management team.",-1,"FourthWall Media, Inc.","Sterling, VA",-1,-1,-1,-1,-1,-1,-1,-1
Scientist,$82K - $156K (Glassdoor est.),"Be involved with a company that is changing the lives of people across the globe.
ARKRAY is currently seeking a Scientist to support Blood Glucose Monitoring (BGM) and other ARKRAY diagnostic chemistry products. Support ARKRAY laboratory and Point of Care IVD instruments and reagents. When necessary coordinate and select clinical sites and oversee the clinical research process either in-house or with external resources.
At this time, only local, qualified candidates will be considered as the position does require working in our Edina office on a regular basis.
ARKRAY is a leading manufacturer of innovative diagnostic and monitoring products including blood glucose monitors, automated urinalysis systems, A1c systems, clinical chemistry instruments, reagents and consumables. Additionally, ARKRAY has also developed devices for use in such areas as infectious diseases, dental/oral wellness, etc.",3.0,"ARKRAY USA, Inc.","Minneapolis, MN",-1,1001 to 5000 Employees,1960,Company - Private,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Research Scientist,$63K - $129K (Glassdoor est.),"Job Description:
Our Reston office is seeking talented candidates to develop mathematical models and algorithms, develop and demonstrate prototype software, and participate in operational analysis related to their technical work. Our Reston office employs mathematicians, physicists and computer scientists. We routinely apply stochastic processes, statistical inference, optimization and scheduling, models of random graphs and applied physics to develop the underlying theory and applications for our clients. The successful candidate will interact with customers, gather requirements and data, write and present briefings, and contribute to the development of Metron tools.

Projects typically involve developing advanced algorithms implemented in a computer prototype system for our research & development customers. We work in small teams, led by Senior Scientists, who work closely with new employees. Project teams work together from the initial system concept, through software and algorithm design, to implementation and demonstration.

Desired Qualifications:",3.6,"Metron, Inc.","Reston, VA",-1,201 to 500 Employees,1982,Company - Private,Research & Development,Business Services,$25 to $50 million (USD),-1
R&D Senior Scientist,$63K - $129K (Glassdoor est.),"TITLE
R&D Senior Scientist - Process Engineer
LOCATION
Orrville, OH
REPORTS TO
Senior Manager, Pet R&D
JOB SUMMARY
The R&D Senior Scientist (Process Engineer) in Process Development is responsible for developing, optimizing, and implementing novel process technologies and equipment needed to deliver our Innovation & Renovation Roadmap. He/She will lead process development of projects from concept through commercialization, resulting in the launch of new pet snack and/or food products. The Senior Scientist (Process Engineer) can also be responsible for the improvement of existing processes, Value Engineering projects and Upstream process technology development to enable new product development or cost improvement.",3.7,The J. M. Smucker Company,"Orrville, OH",-1,5001 to 10000 Employees,1897,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
